[0.041s] Invoking command in '/home/midday/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/midday/turtlebot3_ws/install/turtlebot3_teleop:/home/midday/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/midday/turtlebot3_ws/build/turtlebot3_description -- -j12 -l12
[0.297s] Invoked command in '/home/midday/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/midday/turtlebot3_ws/install/turtlebot3_teleop:/home/midday/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/midday/turtlebot3_ws/build/turtlebot3_description -- -j12 -l12
[0.331s] Invoking command in '/home/midday/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/midday/turtlebot3_ws/install/turtlebot3_teleop:/home/midday/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/midday/turtlebot3_ws/build/turtlebot3_description
[0.343s] -- Install configuration: ""
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle_pi.urdf
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/package_run_dependencies/turtlebot3_description
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/parent_prefix_path/turtlebot3_description
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.sh
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.dsv
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.sh
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.dsv
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.bash
[0.346s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.sh
[0.346s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.zsh
[0.346s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.dsv
[0.346s] -- Symlinking: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/package.dsv
[0.363s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/packages/turtlebot3_description
[0.363s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig.cmake
[0.363s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig-version.cmake
[0.363s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/package.xml
[0.387s] Invoked command in '/home/midday/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/midday/turtlebot3_ws/install/turtlebot3_teleop:/home/midday/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/midday/turtlebot3_ws/build/turtlebot3_description
